document_index,document_title,paragraph_index,question,answer,label
2,CIENCIA_DA_COMPUTACAO,0,A quem é atribuida a invenção do ábaco?,"A primeira ferramenta conhecida para a computação foi o ábaco, cuja invenção é atribuída a habitantes da Mesopotâmia, em torno de 2700–2300 a.C..",1
2,CIENCIA_DA_COMPUTACAO,0,Como são utilizadas as versões mais modernas do ábaco?,"A primeira ferramenta conhecida para a computação foi o ábaco, cuja invenção é atribuída a habitantes da Mesopotâmia, em torno de 2700–2300 a.C..",0
2,CIENCIA_DA_COMPUTACAO,0,Por quem eram produzidas as tabelas logarítmicas?,"A primeira ferramenta conhecida para a computação foi o ábaco, cuja invenção é atribuída a habitantes da Mesopotâmia, em torno de 2700–2300 a.C..",0
2,CIENCIA_DA_COMPUTACAO,0,Qual era o uso original do ábaco?,"A primeira ferramenta conhecida para a computação foi o ábaco, cuja invenção é atribuída a habitantes da Mesopotâmia, em torno de 2700–2300 a.C..",0
2,CIENCIA_DA_COMPUTACAO,0,Qual foi a primeira ferramenta conhecida para a computação?,"A primeira ferramenta conhecida para a computação foi o ábaco, cuja invenção é atribuída a habitantes da Mesopotâmia, em torno de 2700–2300 a.C..",1
2,CIENCIA_DA_COMPUTACAO,0,Quantas regras Pānini utilizou para formular a gramática de Sânscrito?,"A primeira ferramenta conhecida para a computação foi o ábaco, cuja invenção é atribuída a habitantes da Mesopotâmia, em torno de 2700–2300 a.C..",0
2,CIENCIA_DA_COMPUTACAO,0,Quem inventou o logaritmo?,"A primeira ferramenta conhecida para a computação foi o ábaco, cuja invenção é atribuída a habitantes da Mesopotâmia, em torno de 2700–2300 a.C..",0
2,CIENCIA_DA_COMPUTACAO,0,A quem é atribuida a invenção do ábaco?,Seu uso original era desenhar linhas na areia com rochas.,0
2,CIENCIA_DA_COMPUTACAO,0,Como são utilizadas as versões mais modernas do ábaco?,Seu uso original era desenhar linhas na areia com rochas.,0
2,CIENCIA_DA_COMPUTACAO,0,Por quem eram produzidas as tabelas logarítmicas?,Seu uso original era desenhar linhas na areia com rochas.,0
2,CIENCIA_DA_COMPUTACAO,0,Qual era o uso original do ábaco?,Seu uso original era desenhar linhas na areia com rochas.,1
2,CIENCIA_DA_COMPUTACAO,0,Qual foi a primeira ferramenta conhecida para a computação?,Seu uso original era desenhar linhas na areia com rochas.,0
2,CIENCIA_DA_COMPUTACAO,0,Quantas regras Pānini utilizou para formular a gramática de Sânscrito?,Seu uso original era desenhar linhas na areia com rochas.,0
2,CIENCIA_DA_COMPUTACAO,0,Quem inventou o logaritmo?,Seu uso original era desenhar linhas na areia com rochas.,0
2,CIENCIA_DA_COMPUTACAO,0,A quem é atribuida a invenção do ábaco?,Versões mais modernas do ábaco ainda são usadas como instrumento de cálculo.,0
2,CIENCIA_DA_COMPUTACAO,0,Como são utilizadas as versões mais modernas do ábaco?,Versões mais modernas do ábaco ainda são usadas como instrumento de cálculo.,1
2,CIENCIA_DA_COMPUTACAO,0,Por quem eram produzidas as tabelas logarítmicas?,Versões mais modernas do ábaco ainda são usadas como instrumento de cálculo.,0
2,CIENCIA_DA_COMPUTACAO,0,Qual era o uso original do ábaco?,Versões mais modernas do ábaco ainda são usadas como instrumento de cálculo.,0
2,CIENCIA_DA_COMPUTACAO,0,Qual foi a primeira ferramenta conhecida para a computação?,Versões mais modernas do ábaco ainda são usadas como instrumento de cálculo.,0
2,CIENCIA_DA_COMPUTACAO,0,Quantas regras Pānini utilizou para formular a gramática de Sânscrito?,Versões mais modernas do ábaco ainda são usadas como instrumento de cálculo.,0
